class,record_id,manifest_current_splits,manifest_original_splits,note
AFF,06426,test|train|val,test,record-level split differs or spans multiple split labels
AFF,06995,test|train|val,train,record-level split differs or spans multiple split labels
AFF,07162,test|train|val,train,record-level split differs or spans multiple split labels
AFF,07859,test|train|val,test,record-level split differs or spans multiple split labels
ARR,100,val,train,record-level split differs or spans multiple split labels
ARR,102,val,train,record-level split differs or spans multiple split labels
ARR,104,val,train,record-level split differs or spans multiple split labels
ARR,105,val,test,record-level split differs or spans multiple split labels
ARR,106,val,train,record-level split differs or spans multiple split labels
ARR,107,val,train,record-level split differs or spans multiple split labels
ARR,108,val,test,record-level split differs or spans multiple split labels
ARR,109,val,train,record-level split differs or spans multiple split labels
ARR,111,test,val,record-level split differs or spans multiple split labels
ARR,114,test,train,record-level split differs or spans multiple split labels
ARR,116,test,train,record-level split differs or spans multiple split labels
ARR,118,test,train,record-level split differs or spans multiple split labels
ARR,119,test,train,record-level split differs or spans multiple split labels
ARR,124,test,train,record-level split differs or spans multiple split labels
ARR,202,test,val,record-level split differs or spans multiple split labels
ARR,205,test,train,record-level split differs or spans multiple split labels
ARR,208,train,test,record-level split differs or spans multiple split labels
ARR,209,train,test,record-level split differs or spans multiple split labels
ARR,215,train,val,record-level split differs or spans multiple split labels
ARR,223,train,val,record-level split differs or spans multiple split labels
ARR,228,train,test,record-level split differs or spans multiple split labels
ARR,231,train,test,record-level split differs or spans multiple split labels
CHF,chf01,train|val,val,record-level split differs or spans multiple split labels
CHF,chf02,train|val,val,record-level split differs or spans multiple split labels
CHF,chf03,train|val,train,record-level split differs or spans multiple split labels
CHF,chf04,train|val,train,record-level split differs or spans multiple split labels
CHF,chf05,train|val,test,record-level split differs or spans multiple split labels
CHF,chf06,test|train|val,train,record-level split differs or spans multiple split labels
CHF,chf07,test|train,train,record-level split differs or spans multiple split labels
CHF,chf08,test|train,train,record-level split differs or spans multiple split labels
CHF,chf09,test|train,train,record-level split differs or spans multiple split labels
CHF,chf10,test|train,train,record-level split differs or spans multiple split labels
CHF,chf11,test|train,test,record-level split differs or spans multiple split labels
CHF,chf13,test|train,train,record-level split differs or spans multiple split labels
CHF,chf14,test|train,test,record-level split differs or spans multiple split labels
CHF,chf15,test|train,val,record-level split differs or spans multiple split labels
NSR,16265,val,train,record-level split differs or spans multiple split labels
NSR,16272,train|val,test,record-level split differs or spans multiple split labels
NSR,16273,train|val,val,record-level split differs or spans multiple split labels
NSR,16420,train|val,train,record-level split differs or spans multiple split labels
NSR,16483,train|val,train,record-level split differs or spans multiple split labels
NSR,16539,train|val,test,record-level split differs or spans multiple split labels
NSR,16773,train|val,test,record-level split differs or spans multiple split labels
NSR,16786,test|train,val,record-level split differs or spans multiple split labels
NSR,16795,test|train,train,record-level split differs or spans multiple split labels
NSR,17052,test|train,val,record-level split differs or spans multiple split labels
NSR,17453,test|train,train,record-level split differs or spans multiple split labels
NSR,18177,test|train,train,record-level split differs or spans multiple split labels
NSR,18184,test|train,train,record-level split differs or spans multiple split labels
NSR,19088,test|train,train,record-level split differs or spans multiple split labels
NSR,19090,test|train,test,record-level split differs or spans multiple split labels
NSR,19093,test|train,train,record-level split differs or spans multiple split labels
NSR,19140,train,test,record-level split differs or spans multiple split labels
