reference_id,topic,title,authors_or_organization,year,official_path_or_doi,supported_use,comparison_boundary
EXT-001,consumer ECG,"De Novo Classification Request for ECG App (DEN180044)",U.S. Food and Drug Administration,2018,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN180044.pdf,"30초 단일유도 ECG의 동리듬 및 AF 중심 판정 범위","특정 상용 기능 예시이며 전체 웨어러블을 대표하지 않음"
EXT-002,ambulatory ECG,"2018 ACC/AHA/HRS Guideline on Bradycardia and Cardiac Conduction Delay",ACC/AHA/HRS,2018,https://doi.org/10.1161/CIR.0000000000000628,"증상 빈도에 따라 24/48시간 Holter 또는 더 긴 감시를 선택하는 배경","본 설계의 임상 성능 근거가 아님"
EXT-003,dataset,"MIT-BIH Normal Sinus Rhythm Database v1.0.0",PhysioNet,1999,https://physionet.org/content/nsrdb/1.0.0/,"NSR-labelled 원천 record","raw data는 저장소에 포함하지 않음"
EXT-004,dataset,"BIDMC Congestive Heart Failure Database v1.0.0",PhysioNet,2000,https://physionet.org/content/chfdb/1.0.0/,"CHF-labelled 원천 record","database label을 임상 확정 진단으로 확대하지 않음"
EXT-005,dataset,"MIT-BIH Arrhythmia Database v1.0.0",PhysioNet,2005,https://physionet.org/content/mitdb/1.0.0/,"ARR-labelled 원천 record와 48개의 30분 excerpt","공통 30분 검증 길이를 정한 데이터 제약"
EXT-006,dataset,"MIT-BIH Atrial Fibrillation Database v1.0.0",PhysioNet,2000,https://physionet.org/content/afdb/1.0.0/,"AF-labelled 원천 record","legacy 파일과 고정 RTL 식별자의 AFF는 보존"
EXT-007,dataset citation,"PhysioBank, PhysioToolkit, and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals",Goldberger et al.,2000,https://doi.org/10.1161/01.CIR.101.23.e215,"PhysioNet 공통 인용","데이터별 원 논문과 함께 사용"
EXT-008,heartbeat SNN,"ECG Classification Algorithm Based on STDP and R-STDP Neural Networks for Real-Time Monitoring on Ultra Low-Power Personal Wearable Devices",Amirshahi and Hashemi,2019,https://doi.org/10.1109/TBCAS.2019.2948920,"개별 R-peak 중심 심박 SNN 분류","장시간 기록 단위 증거 누적과 다름"
EXT-009,event-driven anomaly,"Real-Time Ultra-Low Power ECG Anomaly Detection Using an Event-Driven Neuromorphic Processor",Bauer et al.,2019,https://doi.org/10.1109/TBCAS.2019.2953001,"연속 ECG의 사건 기반 병리 패턴 trigger","NSR/CHF/ARR/AF 기록 전체 분류가 아님"
EXT-010,event-driven beat classification,"An Event-Driven Compressive Neuromorphic System for Cardiac Arrhythmia Detection",Chen et al.,2022,https://ieeexplore.ieee.org/document/9937756/,"level-crossing ADC와 SCNN 기반 선택 심박 분류","장시간 기록 집계와 다름"
EXT-011,long-record aggregation,"Multiple Instance Learning for ECG Risk Stratification",Shanmugam et al.,2019,https://proceedings.mlr.press/v106/shanmugam19a.html,"장시간 ECG의 고위험 instance를 집계하는 patient-level risk","binary prognosis software이며 본 클래스와 하드웨어 범위가 다름"
EXT-012,variable-length classification,"Convolutional Recurrent Neural Networks for Electrocardiogram Classification",Zihlmann et al.,2017,https://doi.org/10.22489/CinC.2017.070-060,"CNN 특징을 평균 또는 BiLSTM으로 합쳐 normal/AF/other/noisy 분류","본 설계와 클래스 정의 및 구현 방식이 다름"
EXT-013,day-long ECG,"Modeling day-long ECG signals to predict heart failure risk with explainable AI",Zvuloni et al.,2026,https://doi.org/10.1038/s41746-026-02835-8,"30초 encoder와 Transformer로 24시간 Holter의 5년 HF 위험 예측","binary prognosis software이며 24시간 실측 비교가 아님"
EXT-014,low-power ECG ASIC,"A 746 nW ECG Processor ASIC Based on Ternary Neural Network",Abubakar et al.,2022,https://doi.org/10.1109/TBCAS.2022.3196059,"65 nm ASIC의 13종 비정상 리듬 검출과 746 nW 실측","개별 심박/리듬 검출 범위이며 본 2.991 uW 이상적 산출과 직접 우열 비교 금지"
EXT-015,multiclass ECG ASIC,"A Low-Power ECG Processor ASIC Based on an Artificial Neural Network for Arrhythmia Detection",Zhang et al.,2023,https://doi.org/10.3390/app13179591,"55 nm ANN ASIC의 개별 심박 5-class 분류와 12.88 uW","공정·기능·측정 조건이 달라 마이크로와트 범위 참고만 허용"
