case_id,class_label,class_id,source_record_id,chunk_id,mem_path,expected_final_pred,expected_final_pred_name,expected_final_mem_NSR,expected_final_mem_CHF,expected_final_mem_ARR,expected_final_mem_AFF,ground_truth_label,sample_count_expected,snapshot_count_expected,replay_status,source_prediction_case_id,prediction_correct,mem_sha256,expected_source_csv,expected_source_sha256
AFF_afdb_06995_chunk01,AFF,3,AFF_afdb_06995,1,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w001.mem,3,AFF,0,0,0,30,AFF,1800000,30,completed,9,1,fe984d3ac4957c3f0236f36ae517e47df26af2f7dfdf8bcbb15a61035cebb7a3,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk03,AFF,3,AFF_afdb_06995,3,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06995/06995_30min_w003.mem,3,AFF,0,0,5,25,AFF,1800000,30,completed,10,1,a7d6dbd67666581261b7d58b6f674d0e6fcb0378378b39483e78d4c815e5d47f,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk05,AFF,3,AFF_afdb_06995,5,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w005.mem,3,AFF,10,-15,14,31,AFF,1800000,30,completed,11,1,e7c0e16c78778b75e6e7f35d6e92e557b688e3805da46663153924abaf24df78,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk07,AFF,3,AFF_afdb_06995,7,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06995/06995_30min_w007.mem,2,ARR,12,0,17,1,AFF,1800000,30,completed,12,0,a62fc2ba7a5466d4457fa223f136df88da7c43e6b0ab6ebdab221eaed29c1455,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk10,AFF,3,AFF_afdb_06995,10,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w010.mem,0,NSR,17,0,8,5,AFF,1800000,30,completed,13,0,d30b6af5c747b19e2ca1c79c33d99ca656e334e45293d617df0c73c7b2b2b9f6,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk12,AFF,3,AFF_afdb_06995,12,fullrec_afe_30min_annotation_valid_balanced/val/AFF/06995/06995_30min_w012.mem,3,AFF,7,0,8,15,AFF,1800000,30,completed,14,1,6c1da7b13004485078533fcb70c9fac0ba1f132f92d7a743d1e3b6d818544594,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk14,AFF,3,AFF_afdb_06995,14,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w014.mem,3,AFF,2,0,0,28,AFF,1800000,30,completed,15,1,7220ebd132794991ded661f0187cc58d067a977f7f6e59709599e93b1464d03d,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk16,AFF,3,AFF_afdb_06995,16,fullrec_afe_30min_annotation_valid_balanced/test/AFF/06995/06995_30min_w016.mem,3,AFF,0,0,0,30,AFF,1800000,30,completed,16,1,48cab839586a8abfb3f2d0f89489817af1ed16bd52f4b41410591b237d121837,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
AFF_afdb_06995_chunk18,AFF,3,AFF_afdb_06995,18,fullrec_afe_30min_annotation_valid_balanced/train/AFF/06995/06995_30min_w018.mem,3,AFF,0,0,0,30,AFF,1800000,30,completed,17,1,37ecff187d0bb43e96526c9b9bb534a110102c96c355bfccec38fee975572321,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
ARR_mitdb_102_chunk00,ARR,2,ARR_mitdb_102,0,fullrec_afe_30min_annotation_valid_balanced/val/ARR/102/102_30min_w000.mem,2,ARR,0,1,29,0,ARR,1800000,30,completed,35,1,99a94295c8ee6d70da30ee93f543035a6b78202244880b923256c4a5f5db5fc5,reports/final/fulltop_xsim_final_test_36/locked_class_cases_fulltop_xsim_predictions.csv,ccd8dbf27d48c54ec737960355abf21d27efe75bb053e61d293f7379bb6824a1
